Tóm Tắt,Nội Dung
(Dân trí) - Nhà chức trách Nhật Bản đang khẩn trương thực hiện nhiều biện pháp nhằm ứng phó với siêu bão Nanmadol.,"Cơ quan Khí tượng Thủy văn Nhật Bản hôm 18/9 đã phát cảnh báo đặc biệt về siêu bão Nanmadol, cơn bão được đánh giá là nguy hiểm nhất từ trước đến nay với sức gió có thể lên tới 270 km/h.
Theo nhà chức trách Nhật Bản, lượng mưa tại vùng Kyushu ở miền Nam có thể lên tới 500mm trong 24 giờ tính đến 6h sáng ngày 18/9, trong khi lượng mưa tại các vùng Shikoku và Tokai ở miền Tây và miền Trung Nhật Bản dự báo sẽ đạt khoảng 300mm.
Tại các địa phương được dự báo có bão đi qua, người dân đã được yêu cầu khẩn trương sơ tán đến các điểm trú ẩn tạm thời và hạn chế ra ngoài. Cơ quan Khí tượng Thủy văn Nhật Bản cũng cảnh báo người dân địa phương ""cần phải thận trọng tối đa"" vì ""Nanmadol là một cơn bão rất nguy hiểm"".
Công ty đường sắt Kyushu cũng tuyên bố sẽ dừng hoạt động của một số chuyến tàu bắt đầu từ ngày 18/9. Hàng trăm chuyến bay tới các tỉnh miền Nam Nhật Bản cũng đã bị hủy. Bên cạnh đó, chuỗi cửa hàng tiện lợi 7/11 thông báo về việc đóng cửa hơn 610 điểm bán hàng tại vùng Kyushu và Chugoku.
Lực lượng chức năng cũng được yêu cầu chuẩn bị những phương án đối phó khẩn cấp để đề phòng lũ quét và lở đất.
Cơn bão được dự báo đi qua Tokyo vào ngày 20/9, trước khi di chuyển ra biển vào ngày 21/9. Là một quốc đảo, hàng năm, Nhật Bản thường phải đối mặt với khoảng 20 cơn bão mạnh, gây ra thiệt hại lớn về cơ sở vật chất và ảnh hưởng đến cuộc sống của người dân.
"
"Từ Nam Sudan, ngày 1/9, Gìn giữ hòa bình Việt Nam tại Phái bộ Gìn giữ hòa bình Liên hợp quốc UNMISS - Nam Sudan do Bệnh viện dã chiến cấp 2 số 4 (BVDC 2.4) của Việt Nam đã có một lễ kỷ niệm 77 năm Quốc khánh vô cùng đặc biệt.","Trong không khí náo nức kỷ niệm 77 năm Ngày quốc khánh 2/9, những chiến sĩ mũ nồi xanh Việt Nam đang thực hiện nhiệm vụ Gìn giữ hòa bình của Liên hợp quốc tại tại Phái bộ UNISFA, khu vực Abyei và Nam Sudan đã có buổi lễ kỷ niệm trang nghiêm, xúc động, rạng ngời khí thế, tinh thần Việt Nam.
Quốc khánh đặc biệt của các bác sĩ mũ nồi xanh
Trung tá Phạm Tân Phong, Phó Cục Trưởng Cục Gìn giữ hòa bình Việt Nam, Chỉ huy trưởng lực lượng Gìn giữ hòa bình Việt Nam tại Nam Sudan, xúc động ôn lại lịch sử oanh liệt và đầy tự hào của các thế hệ cha ông đi trước trong sự nghiệp đấu tranh và bảo vệ hòa bình, độc lập, tự do, chủ quyền của dân tộc.
Đại diện Cục Gìn giữ hòa bình Việt Nam cũng khẳng định quyết tâm, nỗ lực không ngừng của các cán bộ, chiến sĩ Việt Nam trong việc thực hiện nhiệm vụ Gìn giữ hòa bình của Liên hợp quốc đồng thời thể hiện quyết tâm hoàn thành tốt nhiệm vụ của Đảng và Nhà nước giao phó.
Đại diện Chỉ huy Phái bộ, Ngài Noel Ngaha - Trưởng cơ quan điều hành thực địa phái bộ UNMISS vô cùng ấn tượng khi được tham gia buổi lễ trọng đại này. Phát biểu chúc mừng các cán bộ, chiến sĩ của Việt Nam, Ngài Noel Ngaha thể hiện sự khâm phục đối với lịch sử của dân tộc Việt Nam, đồng thời khẳng định sự biết ơn của Liên hợp quốc đối với những đóng góp quan trọng của Việt Nam trong sứ mệnh Gìn giữ hòa bình Liên hợp quốc.
Để chuẩn bị cho buổi lễ đặc biệt này, Giám đốc BVDC 2.4, Trung tá Vũ Minh Dương cho biết, cán bộ, nhân viên BVDC 2.4 đã tích cực lên kế hoạch, chuẩn bị tỉ mỉ, cải tạo cảnh quan đơn vị, trang hoàng các vị trí tiếp đón khách mời. Mỗi cán bộ, nhân viên Bệnh viện đều tự giác, hăng hái tham gia tổng dọn vệ sinh, trang trí hội trường, trang hoàng cổng chính của Bệnh viện với tinh thần phấn khởi, tự hào.
Ở thời điểm hiện tại, do ảnh hưởng bởi thời tiết phức tạp, mưa lớn kéo dài tại Bentiu - Nam Sudan, các hoạt động giao lưu văn hóa, thể thao của BVDC 2.4 với các đơn vị bạn buộc phải tạm hoãn, song không khí của ngày Quốc khánh nơi này cũng vô cùng ấm áp.
Đặc biệt, BVDC2.4 đã tập trung xây dựng vườn thuốc Nam - nơi ươm trồng các cây thuốc cổ truyền của dân tộc, với những hạt giống được các cán bộ, chiến sĩ của Bệnh viện đem sang từ Việt Nam trước khi sang Phái bộ. Đây cũng là vườn thuốc Nam đầu tiên được xây dựng và ươm trồng nhằm mục đích chăm sóc sức khỏe cho cán bộ, nhân viên của Bệnh viện và hỗ trợ công tác chuyên môn khi thực hiện nhiệm vụ.
Quốc khánh đầu tiên của Đội công binh số 1
Trưa ngày 2/9, tại căn cứ Highway, Phái bộ UNISFA, khu vực Abyei, Đội Công binh số 1 Việt Nam đã long trọng tổ chức gặp mặt kỷ niệm 77 năm Cách mạng tháng Tám và Quốc khánh 2/9. Tới dự có Chuẩn tướng Atogebakga Alobawone, Quyền trưởng Phái bộ UNISFA, Tư lệnh quân sự; Tham mưu trưởng Phái bộ Đại tá Elie Bukuru; trưởng, phó các phòng, ban chức năng của Phái bộ; Chỉ huy trưởng các đơn vị trực thuộc Phái bộ.
Sau phần chiếu phim tư liệu về ngày Quốc khánh, lễ chào cờ, Đại tá Mạc Đức Trọng, Phó Cục trưởng Cục Gìn giữ hòa bình Việt Nam, Chỉ huy trưởng các lực lượng Gìn giữ hòa bình Liên hợp quốc Việt Nam tại Phái bộ UNISFA, Đội trưởng Đội Công binh số 1 Việt Nam đã cùng nhau ôn lại lịch sử xây dựng, chiến đấu và phát triển của dân tộc Việt Nam; những thành tựu kinh tế, văn hóa xã hội và quốc phòng của Việt Nam trong những năm qua; kết quả triển khai Đội Công binh tới Phái bộ UNISFA, những kết quả thực hiện các nhiệm vụ của Phái bộ trong thời gian gần ba tháng qua.
Trong đó nhấn mạnh những hoạt động của Đội Công binh Việt Nam đã bảo đảm tuyến đường huyết mạch Phân khu Bắc luôn thông suốt trong thời gian đầu mùa mưa vừa qua; tổ chức gần 20 đợt cứu kéo thành công hơn trăm ô tô xe máy của Liên hợp quốc và người dân bị sa lầy, mắc kẹt bảo đảm thông thương trên tất cả các tuyến đường; tổ chức khơi thông hệ thống thoát nước chống ngập các khu dân cư...
Đây là sự kiện chính trị trọng đại đầu tiên mà Đội Công binh Việt Nam tổ chức sau gần ba tháng toàn bộ lực lượng, trang bị được triển khái tới Phái bộ UNISFA và đây cũng là kỷ niệm ngày Quốc khánh đầu tiên của một đơn vị Quân đội nhân dân Việt Nam ở Phái bộ UNISFA, khu vực Abyei.
Do đó, từ nhiều ngày trước không khí thi đua diễn ra sôi nổi rộng khắp ở tất cả các cấp, trong tất cả các ngành, trên tất cả các lĩnh vực hoạt động, từ vị trí sở chỉ huy thường xuyên cho đến các công trường.
Trong điều kiện thời tiết liên tục mưa to gió lớn nhưng cũng không ngăn cản được khí thế thi đua của những chiến sĩ công binh Việt Nam. Các anh đã mang đến mảnh đất này một tinh thần, một khí thế mạnh mẽ của người Việt Nam.
Các nhiệm vụ được giao đều hoàn thành xuất sắc, tiêu biểu như nhiệm vụ bảo đảm giao thông Phân khu Bắc trong mùa mưa, khơi thông hệ thống thoát nước giúp dân chống ngập lụt, các đợt cứu kéo đều thành công và an toàn để lại những ấn tượng sâu sắc, tốt đẹp với chỉ huy Phái bộ và người dân địa phương.
Những nỗ lực của Đội Công binh Việt Nam được ghi nhận và tưởng thưởng xứng đáng bằng chính sự thiện cảm của người dân nơi này dành cho các thành viên của Đội. Mỗi nơi lực lượng công binh của Việt Nam xuất hiện đều nhận được sự đón tiếp chân tình, ấm áp với những ánh mắt trìu mến, nụ cười tươi nở trên môi và những cái bắt tay thật chặt.
Những câu nói ""Cảm ơn Việt Nam!"", ""Yêu Việt Nam!""... chính là những món quà vô giá, là nguồn động viên to lớn mà những người lính mũ nồi xanh của Việt Nam đã nhận được tại nơi này.
"
"(Dân trí) - Tàu cao tốc thế hệ mới TGV M được ngành đường sắt Pháp kỳ vọng sẽ trở thành ""tàu cao tốc của tương lai"".","Công ty đường sắt thuộc quyền sở hữu của chính phủ Pháp SNCF cùng nhà sản xuất Alstom đã tổ chức lễ công bố tàu hỏa cao tốc thế hệ mới TGV M đầu tiên được hoàn thành.
SNCF cùng Alstom dự kiến tàu TGV M sẽ bắt đầu được đưa vào sử dụng từ năm 2024. Trước đó, hợp đồng mua 100 chiếc tàu loại này với tổng trị giá 2,7 tỷ euro đã được SNCF ký với Alstom vào năm 2018. Đến tháng 8/2022, 15 toa tàu khác đã được đặt mua thêm.
Theo SNCF, các tàu TGV M sẽ hoạt động chủ yếu để phục vụ hành khách di chuyển trong lãnh thổ Pháp. Tuy nhiên, 15 đoàn tàu hiện đại này sẽ được sử dụng để chuyên chở hành khách đến các địa điểm tại châu Âu.
Với phần mũi dài và được thiết kế theo tiêu chuẩn khí động học tiên tiến, tàu TGV M có thể đạt tốc độ tối đa lên tới 350 km/h. Tuy tốc độ không nhanh hơn so với phiên bản trước đó, nhà sản xuất Alstom khẳng định khả năng chở được nhiều khách cũng như tiêu thụ ít năng lượng hơn là một ưu điểm vượt trội của TGV M.
Theo đó, một đoàn tàu TGV M có thể chở theo 740 khách, nhiều hơn 17% so với thế hệ tàu cao tốc trước đây. Được thiết kế theo dạng module, các toa tàu có thể dễ dàng hoán cải để phục vụ nhiều mục đích khác nhau. Phần khoang được thiết kế rộng rãi cũng cho phép hành khách mang theo lên tàu một số hành lý ngoại cỡ, trong đó có xe đạp.
Đặc biệt, các tàu TGV M đã sử dụng thiết kế thân thiện với môi trường khi 97% số linh kiện của tàu là vật liệu có thể tái chế.
"
"(Dân trí) - Tổng thống Volodymyr Zelensky cho rằng hiện còn quá sớm để khẳng định cục diện xung đột đã đảo chiều, mặc dù lực lượng Ukraine đã tuyên bố giải phóng các vùng lãnh thổ ở phía đông bắc.","Trong cuộc phỏng vấn với Reuters hôm 16/9, Tổng thống Zelensky tiếp tục kêu gọi các nước phương Tây và những nước khác tăng cường cung cấp vũ khí cho Ukraine.
""Chúng tôi muốn Thổ Nhĩ Kỳ giúp đỡ nhiều hơn. Chúng tôi muốn Hàn Quốc giúp đỡ nhiều hơn, muốn thêm sự trợ giúp từ thế giới Ả Rập, từ châu Á"", ông nói.
Tổng thống Zelensky cũng đề cập ""những rào cản tâm lý nhất định"" ở Đức trong việc cung cấp thiết bị quân sự cho Ukraine vì quá khứ Đức Quốc xã, nhưng ông cho rằng những nguồn cung vũ khí như vậy là rất quan trọng để Ukraine có thể tự vệ trước Nga. Ông Zelensky nhiều lần chỉ trích Đức chần chừ trong việc cung cấp vũ khí cho Ukraine.
Ông Zelensky ca ngợi chiến dịch phản công nhanh chóng của Ukraine gần đây, nhưng bác bỏ quan điểm cho rằng cuộc chiến đang bước vào giai đoạn kết thúc.
""Vẫn còn sớm để nói về việc chấm dứt cuộc chiến này"", Tổng thống Ukraine tuyên bố.
Tổng thống Zelensky cho biết ông sẽ chỉ ủng hộ ý tưởng nối lại hoạt động xuất khẩu amoniac của Nga thông qua Ukraine, một sáng kiến do Liên Hợp Quốc đề xuất, nếu Moscow trao trả tù binh Ukraine cho Kiev.
Ông Zelensky cho biết ông tin chắc rằng nguồn cung vũ khí nước ngoài cho Ukraine sẽ giảm nếu Kiev không tiến hành chiến dịch phản công và việc Ukraine giành được lãnh thổ sẽ gây ấn tượng với các nước khác.
""Tôi nghĩ đây là một bước rất quan trọng mà đã ảnh hưởng, hoặc sẽ ảnh hưởng, đến quyết định của một số quốc gia khác"", ông Zelensky nói.
Khi được hỏi vào ngày thứ 205 của cuộc chiến liệu ông có bao giờ có cơ hội để thư giãn hay không, Tổng thống Zelensky nói: ""Tôi thực sự muốn người Nga thư giãn"".
Tổng thư ký NATO Jens Stoltenberg ngày 16/9 tuyên bố, xung đột giữa Nga và Ukraine sẽ không sớm kết thúc, bất chấp cuộc phản công ""hiệu quả"" của Kiev nhằm vào quân đội Nga.
Người đứng đầu NATO cho biết việc ""các lực lượng vũ trang Ukraine có thể giành lại lãnh thổ và tấn công sau chiến tuyến của Nga"" là điều ""đáng khích lệ"". Tuy nhiên, ông Stoltenberg nhấn mạnh điều quan trọng là phải hiểu rằng, ""đây không phải là lúc bắt đầu cho việc kết thúc chiến tranh, chúng ta phải chuẩn bị cho chặng đường dài"".
Tổng thư ký NATO nhắc lại lời kêu gọi các quốc gia phương Tây tiếp tục ủng hộ Ukraine bằng cách gửi thêm viện trợ quân sự, cũng như cung cấp cho quân đội Ukraine đủ quân phục, máy phát điện, lều trại, cùng nhiều thứ khác cho mùa đông sắp tới.
Moscow nhiều lần thúc giục phương Tây ngừng ""bơm"" vũ khí và các khí tài quân sự khác cho Ukraine, cảnh báo điều đó sẽ chỉ càng kéo dài cuộc xung đột mà không làm thay đổi kết quả chiến sự.
Ông Zelensky trước đó dự đoán mùa đông sắp tới sẽ là ""mùa đông khó khăn nhất trên toàn thế giới"" và ""sẽ là bước ngoặt trong nỗ lực giải phóng lãnh thổ Ukraine mà Nga đang kiểm soát"".
Bình luận của ông Stoltenberg được đưa ra sau khi Nga tuyên bố rút quân khỏi một số khu vực ở đông bắc Ukraine, bao gồm thành phố Izium. Nga cho biết các binh sĩ đóng quân ở đây đã được ""tái triển khai"" tới vùng lãnh thổ của Cộng hòa Nhân dân Donetsk tự xưng ở Donbass, miền Đông Ukraine.
"
(Dân trí) - Điện Kremlin đã lên tiếng sau khi Tổng thống Mỹ Joe Biden kêu gọi Nga không sử dụng vũ khí hạt nhân tại Ukraine.,"Trong một phát biểu được đưa ra hôm 16/9, Tổng thống Mỹ Joe Biden đã cảnh báo về những hậu quả nghiêm trọng nếu Kiev bị tấn công hạt nhân và kêu gọi Moscow kiềm chế để việc này không xảy ra tại chiến trường Ukraine.
Đáp lại lời cảnh báo của ông Biden, người phát ngôn Điện Kremlin Dmitry Peskov cho biết học thuyết về vũ khí hạt nhân của Nga đã được công khai và Washington D.C có thể dễ dàng tìm đọc để hiểu thêm về nguyên tắc sử dụng loại vũ khí hủy diệt này của Moscow.
""Hãy đọc học thuyết triển khai vũ khí hạt nhân của Nga, mọi thứ đều được viết trong đó"", ông Peskov nói hôm 17/9.
Trước đó, ông Dmitry Medvedev, Phó Chủ tịch Hội đồng An ninh Liên bang Nga, từng đề cập tới học thuyết hạt nhân của Nga, trong đó nêu rõ những điều kiện cho phép Moscow được quyền sử dụng vũ khí hạt nhân.
Theo ông Medvedev, trường hợp đầu tiên là tình huống Nga bị tấn công bằng tên lửa hạt nhân. Trường hợp thứ hai là bất kỳ loại vũ khí hạt nhân nào khác được sử dụng để chống lại Nga hoặc các đồng minh của Nga.
Trường hợp thứ ba là một cuộc tấn công nhằm vào cơ sở hạ tầng trọng yếu làm tê liệt các lực lượng răn đe hạt nhân của Nga. Trường hợp thứ tư là khi xuất hiện hành động thù địch nhằm vào Nga và các đồng minh, gây nguy hiểm cho sự tồn vong của đất nước, dù chỉ bằng vũ khí thông thường, chứ chưa bao gồm vũ khí hạt nhân.
Tổng thống Vladimir Putin ngày 1/8 cũng khẳng định Nga tin rằng ""không có người chiến thắng trong một cuộc chiến tranh hạt nhân"" và cuộc chiến này ""không bao giờ được nổ ra"". Ông Putin nhấn mạnh Nga luôn tuân thủ tinh thần và nội dung của Hiệp ước Không phổ biến Vũ khí hạt nhân (NPT).
"
"(Dân trí) - Cơ quan khí tượng Nhật Bản cảnh báo một cơn bão ""rất nguy hiểm"" đang hướng tới đảo Kyushu, miền nam nước này, và kêu gọi người dân sơ tán.","Cơ quan khí tượng Nhật Bản hôm nay 17/9 thông báo, cơn bão Nanmadol có sức gió giật lên tới 270 km hiện di chuyển gần hòn đảo Minami Daito, cách đảo Okinawa 400 km về phía đông.
Cơn bão được dự báo sẽ tiến gần hoặc đổ bộ vào phía nam tỉnh Kagoshima ở đảo Kyushu vào ngày 18/9, sau đó di chuyển về phía bắc vào ngày hôm sau trước khi hướng tới hòn đảo chính của Nhật Bản.
""Cơn bão có thể dẫn đến những nguy cơ chưa từng có với sóng cao, triều cường và lượng mưa kỷ lục"", Ryuta Kurora, người đứng đầu bộ phận dự báo của Cơ quan Khí tượng Nhật Bản, cảnh báo.
""Cần phải thận trọng tối đa. Đó là một cơn bão rất nguy hiểm"", ông Kurora nói,  đồng thời kêu gọi người dân sớm sơ tán.
Ông Kurora cho biết cơ quan khí tượng có thể đưa ra mức cảnh báo cao nhất cho tỉnh Kagoshima vào tối ngày 17/9.
""Gió sẽ rất mạnh khiến một số ngôi nhà có thể bị sập"", ông Kurora nói, đồng thời cảnh báo nguy cơ lũ lụt và sạt lở đất.
Nhật Bản đang trong mùa mưa bão và phải hứng chịu khoảng 20 cơn bão như vậy mỗi năm. Các cơn bão thường xuyên dẫn đến những trận mưa lớn, gây ra lở đất hoặc lũ quét.
Các nhà khoa học cho biết, biến đổi khí hậu đang làm gia tăng mức độ nghiêm trọng của các cơn bão và khiến các hiện tượng thời tiết khắc nghiệt như sóng nhiệt, hạn hán, lũ quét trở nên thường xuyên và dữ dội hơn.
"
(Dân trí) - Quân đội Nga đã tiến hành nhiều cuộc tập kích tên lửa nhằm vào các thành phố tại Ukraine trong đêm qua.,"""Khu dân cư ở quận Slobidskyi đã bị đánh trúng. Tên lửa của Nga đã tấn công một tòa nhà tại quận này. Một số phương tiện cùng cơ sở vật chất đã bị hư hỏng"", Thị trưởng Kharkov Ihor Terekhov chia sẻ trên trang Telegram cá nhân hôm 16/9.
Ông Terekhov cũng cho biết một vụ tập kích tên lửa khác đã được thực hiện nhằm vào khu vực Kyivskyi vào rạng sáng ngày 16/9, khiến còi báo động vang lên khắp thành phố. Thị trưởng Kharkov cáo buộc các cuộc tập kích trên đã khiến ít nhất 2 người lớn và 2 trẻ em bị thương.
Cũng trong đêm qua, lực lượng tên lửa và pháo binh Nga đã dồn dập tấn công tỉnh Sumy ở phía Đông Bắc Ukraine. Theo người đứng đầu chính quyền quân quản tỉnh Sumy Dmytro Zhyvytsky, 5 khu dân cư tại tỉnh này đã bị pháo binh và tên lửa Nga đánh trúng trong vòng 24 giờ qua.
Vụ tập kích trên đã làm hư hỏng nhiều cơ sở hạ tầng quan trọng ở tỉnh Sumy. Hoạt động của hệ thống điện ở thành phố Seredyna-Buda ở tỉnh này đã bị gián đoạn sau khi một trạm biến áp bị trúng hỏa lực.
Nhà chức trách tỉnh Sumy cho biết người dân đã được yêu cầu tìm nơi trú ẩn sau khi nghe tiếng còi báo động trong đêm. Thương vong về người hiện chưa được ghi nhận.
Cũng trong ngày qua, các tên lửa hành trình được phóng từ tàu chiến của Hạm đội Biển Đen của Nga đã tấn công thành phố cảng Odessa. Lực lượng phòng không Ukraine tuyên bố đã bắn hạ ít nhất một tên lửa trong số này.
Các vụ tập kích trong đêm 15, rạng sáng ngày 16/9 được cho là một phần trong kế hoạch đáp trả của quân đội Nga nhằm vào chiến dịch phản công chớp nhoáng của Ukraine. Trước đó, Bộ Quốc phòng Nga ngày 13/9 đã ra tuyên bố khẳng định sẽ tấn công Ukraine trên toàn chiến tuyến.
Tuyên bố trên của quân đội Nga được cho là sẽ mở đường cho các phi vụ tập kích đường không bằng tên lửa hành trình nhằm vào các mục tiêu quân sự tại nhiều địa điểm trên lãnh thổ Ukraine.
Hôm 14/9, ông Vladyslav Nazarov, người phát ngôn của Bộ Tư lệnh tác chiến phía Nam Ukraine, cho hay các lực lượng phòng không Ukraine đã được yêu cầu cảnh giác cao độ trước nguy cơ bị tên lửa Nga tấn công từ Biển Đen.
Trong ngày 15/9, một vụ tấn công quy mô lớn của các tên lửa hành trình Nga đã phá hỏng một đập nước bắc ngang sông Inhulets ở thành phố Kryvyi Rih, quê nhà của Tổng thống Volodymyr Zelensky.
Mực nước tại con sông chính chảy qua thành phố Kryvyi Rih vì vậy đã dâng lên nhanh chóng, gây ra nguy cơ ngập lụt trên diện rộng.
Sông Inhulets hiện đóng vai trò như một ranh giới tự nhiên giữa lực lượng Nga và Ukraine tại chiến trường miền Nam Ukraine. Giới phân tích nhận định Nga có thể nhằm mục tiêu vào con đập để khiến mực nước sông dâng cao, qua đó cản trở cuộc phản công của quân đội Ukraine.
"
(Dân trí) - Cảnh sát Campuchia cho hay một người đàn ông Việt đã bị một đám đông sát hại bên ngoài casino ở thành phố Bavet.,"Khmer Times dẫn thông báo ngày 27/8 của cảnh sát Campuchia cho biết, vụ việc xảy ra vào 3h15 sáng ngày 26/8 phía trước Casino 67 ở làng Bavet Kandal, Bavet Sangkat, thành phố Bavet.
Theo cảnh sát, nạn nhân tên là Duong Minteang, 34 tuổi, mang quốc tịch Việt Nam. Nạn nhân là một đầu bếp.
Thông báo cho hay, nhóm nghi phạm được xác định cũng là người Việt và đã rời hiện trường ngay sau khi vụ việc xảy ra.
Các nhân chứng nói rằng, trước khi vụ việc xảy ra, nạn nhân đã tới một tiệm cầm đồ để lấy tiền đi đánh bạc.
Các nguồn tin cho biết, một nhóm nghi phạm khoảng 4-5 người đã nói chuyện với nạn nhân trước khi xảy ra vụ việc. Sau đó, họ bất ngờ tấn công anh Duong, khiến anh thiệt mạng, rồi rời đi.
Người dân địa phương đã trình báo với cảnh sát về vụ việc. Hiện thời, lực lượng hành pháp đang xem xét camera an ninh để tìm thêm manh mối về nhóm nghi phạm.
"
(Dân trí) - Hai tiểu đoàn viện binh từ Cộng hòa Chechnya đã được điều đến khu vực Donbass ở miền Đông Ukraine.,"""Các binh sĩ thuộc các tiểu đoàn Zapad-Akhmat và Vostok-Akhmat cùng với các chỉ huy giàu kinh nghiệm của họ đã được điều đến phối hợp cùng các lực lượng đồng minh tại khu vực Donbass. Các đơn vị này được trang bị hiện đại và sở hữu nhiều vũ khí tối tân"", lãnh đạo Cộng hòa Chechnya (thuộc Nga) Ramzan Kadyrov tuyên bố trên kênh Telegram hôm 16/9.
Ông Kadyrov cũng ca ngợi tinh thần chiến đấu của các đơn vị đặc nhiệm Chechnya và bày tỏ tin tưởng rằng lực lượng này sẽ là sự bổ sung đắc lực cho quân đội Nga tại Donbass.
Hôm 12/9, giới chức Chechnya tuyên bố sẽ tái triển khai lực lượng đặc nhiệm tinh nhuệ tới khu vực đang diễn ra chiến dịch quân sự đặc biệt của Moscow ở Ukraine sau thời gian những binh sĩ này nghỉ ngơi.
Trước đó, nhà lãnh đạo Chechnya đã tuyên bố sẽ thành lập thêm 4 tiểu đoàn bộ binh mới ""với quân số ấn tượng"" nhằm hỗ trợ các lực lượng Nga trong chiến dịch quân sự đặc biệt tại Ukraine.
""Với thành phần toàn bộ là những binh sĩ người Chechnya, các tiểu đoàn sắp thành lập sẽ bù đắp cho những tổn thất của Bộ Quốc phòng Nga tại Ukraine"", ông Kadyrov nhấn mạnh.
Kể từ khi Nga bắt đầu chiến dịch quân sự đặc biệt tại Ukraine, ông Kadyrov được biết đến là một trong những người ủng hộ nhiệt thành nhất của Tổng thống Putin cũng như quân đội Nga.
Ngoài việc gửi binh sĩ của lực lượng vũ trang Chechnya đến tham chiến trực tiếp tại Ukraine cùng quân đội chính quy Nga, ông Kadyrov còn tích cực đăng đàn chỉ trích và thậm chí đe dọa các nước phương Tây là đồng minh của chính quyền của Tổng thống Volodymyr Zelensky.
"
"(Dân trí) - Tổng thống Nga Vladimir Putin tuyên bố, Moscow sẽ làm mọi thứ có thể để chấm dứt xung đột với Ukraine ""sớm nhất có thể"", đồng thời khẳng định, mục tiêu chiến dịch quân sự tại Ukraine không thay đổi.","""Tôi biết lập trường và quan ngại của ngài về cuộc xung đột ở Ukraine. Chúng tôi sẽ làm mọi việc có thể để chấm dứt xung đột càng sớm càng tốt"", Tổng thống Nga Vladimir Putin phát biểu trong cuộc hội đàm với Thủ tướng Ấn Độ Narendra Modi trong cuộc họp bên lề hội nghị thượng đỉnh Tổ chức Hợp tác Thượng Hải (SCO) tại thành phố Samarkand, Uzbekistan hôm 16/9.
Mặt khác, chủ nhân Điện Kremlin cáo buộc Ukraine khiến xung đột kéo dài. ""Đáng tiếc là đối phương - lãnh đạo Ukraine - từ chối quá trình đàm phán. Họ tuyên bố muốn đạt mục tiêu của họ bằng các biện pháp quân sự hay như họ nói là chiến thắng trên chiến trường"".
Các cuộc hòa đàm giữa Nga và Ukraine bế tắc kể từ cuối tháng 3. Hai bên đưa ra các điều kiện riêng để nối lại đàm phán, trong khi đó, phương Tây tiếp tục cung cấp vũ khí, trang thiết bị quân sự cho Kiev.
Hồi tháng 7, Ngoại trưởng Ukraine Dmytro Kuleba cho biết, Kiev sẽ chỉ nối lại đàm phán khi Moscow ""bị đánh bại trên chiến trường"". Ông Kuleba nhấn mạnh, Tổng thống Ukraine Volodymyr Zelensky không loại trừ ""khả năng đàm phán"" nhưng không có lý do gì để đàm phán vào lúc này.
Nga mở chiến dịch quân sự đặc biệt ở Ukraine từ cuối tháng 2 năm nay với tuyên bố nhằm phi quân sự hóa và phi phát xít hóa quốc gia láng giềng. Cục diện xung đột thay đổi đáng kể gần đây khi Ukraine bắt đầu phản công ở Kherson và Kharkov, lần lượt ở miền Nam và Đông Bắc nước này.
Lần đầu tiên bình luận về chiến dịch phản công của Ukraine, ông Putin nói: ""Chúng tôi nắm được hoạt động của họ ở nơi này, nơi kia. Chính quyền Kiev tuyên bố họ bắt đầu phản công"". Ngoài ra, ông không cho biết thêm về các phản ứng của Moscow.
Tổng thống Putin nhấn mạnh, bất chấp Ukraine phản công, mục tiêu chiến dịch quân sự của Nga vẫn không thay đổi. ""Mục tiêu chính là giải phóng toàn bộ lãnh thổ Donbass. Mục tiêu này sẽ tiếp tục"", chủ nhân Điện Kremlin cho biết.
Đề cập đến đề xuất đảm bảo an ninh mà Kiev đưa ra hồi đầu tuần này, Tổng thống Putin cho hay: ""Thực tình mà nói, tôi không biết điều mà họ đề xuất vào thời điểm này. Chúng tôi cũng đã bàn đến các điều kiện đảm bảo an ninh và kết thúc quá trình đàm phán ở Istanbul (Thổ Nhĩ Kỳ) bằng một dự thảo thỏa thuận.
Sau đó, chúng tôi rút quân khỏi Kiev để tạo điều kiện cho việc ký kết. Nhưng đáp lại, giới chức Kiev đã từ bỏ tất cả các thỏa thuận, tuyên bố không ký bất cứ thỏa thuận nào với Nga, thay vào đó là sẽ giành chiến thắng trên chiến trường. Chúc họ may mắn. Họ đang cố gắng làm điều đó bằng cuộc phản công. Hãy chờ xem nó đi đến đâu"".
"
