ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,1,KM.TXT,0.20588,0.09211,0.12727,1
,,,,,,
ROUGE-1+StopWordRemoval,1,KM.TXT,0.37838,0.16092,0.22581,1
,,,,,,
ROUGE-2+StopWordRemoval,1,KM.TXT,0.11111,0.04651,0.06557,1
,,,,,,
ROUGE-L+StopWordRemoval,2,KM.TXT,0.3125,0.10417,0.15625,1
,,,,,,
ROUGE-1+StopWordRemoval,2,KM.TXT,0.38889,0.112,0.17391,1
,,,,,,
ROUGE-2+StopWordRemoval,2,KM.TXT,0.23529,0.06452,0.10127,1
,,,,,,
ROUGE-L+StopWordRemoval,3,KM.TXT,0.35294,0.08333,0.13483,1
,,,,,,
ROUGE-1+StopWordRemoval,3,KM.TXT,0.5,0.09223,0.15574,1
,,,,,,
ROUGE-2+StopWordRemoval,3,KM.TXT,0.19444,0.03415,0.05809,1
,,,,,,
ROUGE-L+StopWordRemoval,4,KM.TXT,0.23077,0.0625,0.09836,1
,,,,,,
ROUGE-1+StopWordRemoval,4,KM.TXT,0.33333,0.07556,0.12319,1
,,,,,,
ROUGE-2+StopWordRemoval,4,KM.TXT,0.12245,0.02679,0.04396,1
,,,,,,
ROUGE-L+StopWordRemoval,5,KM.TXT,0.3125,0.10309,0.15504,1
,,,,,,
ROUGE-1+StopWordRemoval,5,KM.TXT,0.68571,0.19048,0.29814,1
,,,,,,
ROUGE-2+StopWordRemoval,5,KM.TXT,0.36364,0.096,0.1519,1
,,,,,,
ROUGE-L+StopWordRemoval,6,KM.TXT,0.35714,0.12195,0.18182,1
,,,,,,
ROUGE-1+StopWordRemoval,6,KM.TXT,0.46939,0.13939,0.21495,1
,,,,,,
ROUGE-2+StopWordRemoval,6,KM.TXT,0.17021,0.04878,0.07583,1
,,,,,,
ROUGE-L+StopWordRemoval,7,KM.TXT,0.30556,0.10891,0.16058,1
,,,,,,
ROUGE-1+StopWordRemoval,7,KM.TXT,0.53846,0.16406,0.2515,1
,,,,,,
ROUGE-2+StopWordRemoval,7,KM.TXT,0.18919,0.05512,0.08537,1
,,,,,,
ROUGE-L+StopWordRemoval,8,KM.TXT,0.27907,0.07792,0.12183,1
,,,,,,
ROUGE-1+StopWordRemoval,8,KM.TXT,0.46552,0.12,0.19081,1
,,,,,,
ROUGE-2+StopWordRemoval,8,KM.TXT,0.21429,0.05357,0.08571,1
,,,,,,
ROUGE-L+StopWordRemoval,9,KM.TXT,0.10811,0.03636,0.05442,1
,,,,,,
ROUGE-1+StopWordRemoval,9,KM.TXT,0.21429,0.07031,0.10588,1
,,,,,,
ROUGE-2+StopWordRemoval,9,KM.TXT,0.05,0.01575,0.02395,1
,,,,,,
ROUGE-L+StopWordRemoval,500,KM.TXT,0.28571,0.12987,0.17857,1
,,,,,,
ROUGE-1+StopWordRemoval,500,KM.TXT,0.58333,0.23333,0.33333,1
,,,,,,
ROUGE-2+StopWordRemoval,500,KM.TXT,0.32353,0.1236,0.17886,1
,,,,,,
ROUGE-L+StopWordRemoval,400,KM.TXT,0.23077,0.0625,0.09836,1
,,,,,,
ROUGE-1+StopWordRemoval,400,KM.TXT,0.33333,0.07556,0.12319,1
,,,,,,
ROUGE-2+StopWordRemoval,400,KM.TXT,0.12245,0.02679,0.04396,1
,,,,,,
ROUGE-L+StopWordRemoval,401,KM.TXT,0.35714,0.12195,0.18182,1
,,,,,,
ROUGE-1+StopWordRemoval,401,KM.TXT,0.46939,0.13939,0.21495,1
,,,,,,
ROUGE-2+StopWordRemoval,401,KM.TXT,0.17021,0.04878,0.07583,1
,,,,,,
ROUGE-L+StopWordRemoval,402,KM.TXT,0.3,0.12,0.17143,1
,,,,,,
ROUGE-1+StopWordRemoval,402,KM.TXT,0.575,0.19828,0.29487,1
,,,,,,
ROUGE-2+StopWordRemoval,402,KM.TXT,0.31579,0.10435,0.15686,1
,,,,,,
ROUGE-L+StopWordRemoval,403,KM.TXT,0.24242,0.11111,0.15238,1
,,,,,,
ROUGE-1+StopWordRemoval,403,KM.TXT,0.35294,0.13483,0.19512,1
,,,,,,
ROUGE-2+StopWordRemoval,403,KM.TXT,0.15625,0.05682,0.08333,1
,,,,,,
ROUGE-L+StopWordRemoval,404,KM.TXT,0.25,0.10976,0.15254,1
,,,,,,
ROUGE-1+StopWordRemoval,404,KM.TXT,0.41463,0.1223,0.18889,1
,,,,,,
ROUGE-2+StopWordRemoval,404,KM.TXT,0.12821,0.03623,0.0565,1
,,,,,,
ROUGE-L+StopWordRemoval,405,KM.TXT,0.5,0.19178,0.27723,1
,,,,,,
ROUGE-1+StopWordRemoval,405,KM.TXT,0.65517,0.19192,0.29688,1
,,,,,,
ROUGE-2+StopWordRemoval,405,KM.TXT,0.48148,0.13265,0.208,1
,,,,,,
