ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK908,TEXTRANK.TXT,0.43478,0.11111,0.17699,1

ROUGE-1+StopWordRemoval,TASK908,TEXTRANK.TXT,0.70833,0.14655,0.24286,1

ROUGE-2+StopWordRemoval,TASK908,TEXTRANK.TXT,0.17391,0.03478,0.05797,1

ROUGE-L+StopWordRemoval,TASK909,TEXTRANK.TXT,0.13514,0.06250,0.08547,1

ROUGE-1+StopWordRemoval,TASK909,TEXTRANK.TXT,0.36957,0.15044,0.21384,1

ROUGE-2+StopWordRemoval,TASK909,TEXTRANK.TXT,0.04444,0.01786,0.02548,1

ROUGE-L+StopWordRemoval,TASK906,TEXTRANK.TXT,0.19048,0.03810,0.06349,1

ROUGE-1+StopWordRemoval,TASK906,TEXTRANK.TXT,0.25000,0.03896,0.06742,1

ROUGE-2+StopWordRemoval,TASK906,TEXTRANK.TXT,0.08696,0.01307,0.02273,1

ROUGE-L+StopWordRemoval,TASK907,TEXTRANK.TXT,0.21875,0.06542,0.10072,1

ROUGE-1+StopWordRemoval,TASK907,TEXTRANK.TXT,0.45455,0.09740,0.16043,1

ROUGE-2+StopWordRemoval,TASK907,TEXTRANK.TXT,0.18750,0.03922,0.06486,1

ROUGE-L+StopWordRemoval,TASK904,TEXTRANK.TXT,0.70000,0.05303,0.09859,1

ROUGE-1+StopWordRemoval,TASK904,TEXTRANK.TXT,0.81818,0.05172,0.09730,1

ROUGE-2+StopWordRemoval,TASK904,TEXTRANK.TXT,0.30000,0.01734,0.03279,1

ROUGE-L+StopWordRemoval,TASK905,TEXTRANK.TXT,0.68750,0.12644,0.21359,1

ROUGE-1+StopWordRemoval,TASK905,TEXTRANK.TXT,0.75000,0.10084,0.17778,1

ROUGE-2+StopWordRemoval,TASK905,TEXTRANK.TXT,0.40000,0.05085,0.09023,1

ROUGE-L+StopWordRemoval,TASK902,TEXTRANK.TXT,0.12500,0.04938,0.07080,1

ROUGE-1+StopWordRemoval,TASK902,TEXTRANK.TXT,0.26316,0.09615,0.14085,1

ROUGE-2+StopWordRemoval,TASK902,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK903,TEXTRANK.TXT,0.23333,0.07000,0.10769,1

ROUGE-1+StopWordRemoval,TASK903,TEXTRANK.TXT,0.45455,0.11628,0.18519,1

ROUGE-2+StopWordRemoval,TASK903,TEXTRANK.TXT,0.09375,0.02344,0.03750,1

ROUGE-L+StopWordRemoval,TASK900,TEXTRANK.TXT,0.20000,0.05128,0.08163,1

ROUGE-1+StopWordRemoval,TASK900,TEXTRANK.TXT,0.25000,0.04545,0.07692,1

ROUGE-2+StopWordRemoval,TASK900,TEXTRANK.TXT,0.06452,0.01143,0.01942,1

ROUGE-L+StopWordRemoval,TASK901,TEXTRANK.TXT,0.80952,0.25373,0.38636,1

ROUGE-1+StopWordRemoval,TASK901,TEXTRANK.TXT,0.70833,0.18889,0.29825,1

ROUGE-2+StopWordRemoval,TASK901,TEXTRANK.TXT,0.60870,0.15730,0.25000,1

ROUGE-L+StopWordRemoval,TASK919,TEXTRANK.TXT,0.13514,0.05263,0.07576,1

ROUGE-1+StopWordRemoval,TASK919,TEXTRANK.TXT,0.25000,0.08197,0.12346,1

ROUGE-2+StopWordRemoval,TASK919,TEXTRANK.TXT,0.02564,0.00826,0.01250,1

ROUGE-L+StopWordRemoval,TASK917,TEXTRANK.TXT,0.16216,0.04959,0.07595,1

ROUGE-1+StopWordRemoval,TASK917,TEXTRANK.TXT,0.26829,0.06250,0.10138,1

ROUGE-2+StopWordRemoval,TASK917,TEXTRANK.TXT,0.07500,0.01714,0.02791,1

ROUGE-L+StopWordRemoval,TASK918,TEXTRANK.TXT,0.10345,0.02027,0.03390,1

ROUGE-1+StopWordRemoval,TASK918,TEXTRANK.TXT,0.20690,0.02844,0.05000,1

ROUGE-2+StopWordRemoval,TASK918,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK915,TEXTRANK.TXT,0.42857,0.09677,0.15789,1

ROUGE-1+StopWordRemoval,TASK915,TEXTRANK.TXT,0.62069,0.10227,0.17561,1

ROUGE-2+StopWordRemoval,TASK915,TEXTRANK.TXT,0.28571,0.04571,0.07882,1

ROUGE-L+StopWordRemoval,TASK916,TEXTRANK.TXT,1.00000,0.21569,0.35484,1

ROUGE-1+StopWordRemoval,TASK916,TEXTRANK.TXT,1.00000,0.16216,0.27907,1

ROUGE-2+StopWordRemoval,TASK916,TEXTRANK.TXT,1.00000,0.15646,0.27059,1

ROUGE-L+StopWordRemoval,TASK913,TEXTRANK.TXT,0.30000,0.12857,0.18000,1

ROUGE-1+StopWordRemoval,TASK913,TEXTRANK.TXT,0.41935,0.13000,0.19847,1

ROUGE-2+StopWordRemoval,TASK913,TEXTRANK.TXT,0.06667,0.02020,0.03101,1

ROUGE-L+StopWordRemoval,TASK914,TEXTRANK.TXT,0.45000,0.09091,0.15126,1

ROUGE-1+StopWordRemoval,TASK914,TEXTRANK.TXT,0.54167,0.08784,0.15116,1

ROUGE-2+StopWordRemoval,TASK914,TEXTRANK.TXT,0.21739,0.03401,0.05882,1

ROUGE-L+StopWordRemoval,TASK911,TEXTRANK.TXT,0.23529,0.05195,0.08511,1

ROUGE-1+StopWordRemoval,TASK911,TEXTRANK.TXT,0.29412,0.04386,0.07634,1

ROUGE-2+StopWordRemoval,TASK911,TEXTRANK.TXT,0.06250,0.00885,0.01550,1

ROUGE-L+StopWordRemoval,TASK912,TEXTRANK.TXT,1.00000,0.31633,0.48062,1

ROUGE-1+StopWordRemoval,TASK912,TEXTRANK.TXT,1.00000,0.25758,0.40964,1

ROUGE-2+StopWordRemoval,TASK912,TEXTRANK.TXT,1.00000,0.25191,0.40244,1

ROUGE-L+StopWordRemoval,TASK910,TEXTRANK.TXT,0.16667,0.05769,0.08571,1

ROUGE-1+StopWordRemoval,TASK910,TEXTRANK.TXT,0.35135,0.09155,0.14525,1

ROUGE-2+StopWordRemoval,TASK910,TEXTRANK.TXT,0.11111,0.02837,0.04520,1

ROUGE-L+StopWordRemoval,TASK708,TEXTRANK.TXT,0.25000,0.16667,0.20000,1

ROUGE-1+StopWordRemoval,TASK708,TEXTRANK.TXT,0.26190,0.15942,0.19820,1

ROUGE-2+StopWordRemoval,TASK708,TEXTRANK.TXT,0.09756,0.05882,0.07339,1

ROUGE-L+StopWordRemoval,TASK709,TEXTRANK.TXT,0.16667,0.05600,0.08383,1

ROUGE-1+StopWordRemoval,TASK709,TEXTRANK.TXT,0.18000,0.05422,0.08333,1

ROUGE-2+StopWordRemoval,TASK709,TEXTRANK.TXT,0.04082,0.01212,0.01869,1

ROUGE-L+StopWordRemoval,TASK706,TEXTRANK.TXT,0.30000,0.11215,0.16327,1

ROUGE-1+StopWordRemoval,TASK706,TEXTRANK.TXT,0.50000,0.12426,0.19905,1

ROUGE-2+StopWordRemoval,TASK706,TEXTRANK.TXT,0.17073,0.04167,0.06699,1

ROUGE-L+StopWordRemoval,TASK948,TEXTRANK.TXT,0.24444,0.07006,0.10891,1

ROUGE-1+StopWordRemoval,TASK948,TEXTRANK.TXT,0.40000,0.10526,0.16667,1

ROUGE-2+StopWordRemoval,TASK948,TEXTRANK.TXT,0.05556,0.01442,0.02290,1

ROUGE-L+StopWordRemoval,TASK707,TEXTRANK.TXT,0.26667,0.06154,0.10000,1

ROUGE-1+StopWordRemoval,TASK707,TEXTRANK.TXT,0.32258,0.05155,0.08889,1

ROUGE-2+StopWordRemoval,TASK707,TEXTRANK.TXT,0.10000,0.01554,0.02691,1

ROUGE-L+StopWordRemoval,TASK949,TEXTRANK.TXT,0.26667,0.06275,0.10159,1

ROUGE-1+StopWordRemoval,TASK949,TEXTRANK.TXT,0.40659,0.08873,0.14567,1

ROUGE-2+StopWordRemoval,TASK949,TEXTRANK.TXT,0.10000,0.02163,0.03557,1

ROUGE-L+StopWordRemoval,TASK704,TEXTRANK.TXT,0.26667,0.06349,0.10256,1

ROUGE-1+StopWordRemoval,TASK704,TEXTRANK.TXT,0.43243,0.09467,0.15534,1

ROUGE-2+StopWordRemoval,TASK704,TEXTRANK.TXT,0.11111,0.02381,0.03922,1

ROUGE-L+StopWordRemoval,TASK946,TEXTRANK.TXT,0.20000,0.04217,0.06965,1

ROUGE-1+StopWordRemoval,TASK946,TEXTRANK.TXT,0.39024,0.07547,0.12648,1

ROUGE-2+StopWordRemoval,TASK946,TEXTRANK.TXT,0.02500,0.00474,0.00797,1

ROUGE-L+StopWordRemoval,TASK705,TEXTRANK.TXT,0.48718,0.21111,0.29457,1

ROUGE-1+StopWordRemoval,TASK705,TEXTRANK.TXT,0.76190,0.19753,0.31373,1

ROUGE-2+StopWordRemoval,TASK705,TEXTRANK.TXT,0.36585,0.09317,0.14851,1

ROUGE-L+StopWordRemoval,TASK947,TEXTRANK.TXT,0.19608,0.07407,0.10753,1

ROUGE-1+StopWordRemoval,TASK947,TEXTRANK.TXT,0.41379,0.12565,0.19277,1

ROUGE-2+StopWordRemoval,TASK947,TEXTRANK.TXT,0.08772,0.02632,0.04049,1

ROUGE-L+StopWordRemoval,TASK702,TEXTRANK.TXT,0.63636,0.14433,0.23529,1

ROUGE-1+StopWordRemoval,TASK702,TEXTRANK.TXT,0.68182,0.12712,0.21429,1

ROUGE-2+StopWordRemoval,TASK702,TEXTRANK.TXT,0.52381,0.09402,0.15942,1

ROUGE-L+StopWordRemoval,TASK944,TEXTRANK.TXT,0.15385,0.06522,0.09160,1

ROUGE-1+StopWordRemoval,TASK944,TEXTRANK.TXT,0.20000,0.06202,0.09467,1

ROUGE-2+StopWordRemoval,TASK944,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK703,TEXTRANK.TXT,0.44186,0.19000,0.26573,1

